table,column,id,isLegacy
users,id,AGRC_USER_ADMIN,0
users,id,AGRC_USER_MLE1AS4HYY88,0
users,id,AGRC_USER_MLNZUAVNJ83J,0
users,id,AGRC_USER_MLHDVR6AENCW,0
agricultores,id,AGRC_USER_AGRICULTOR_MLE1AS4P13XF,0
clientes,id,AGRC_USER_CLIENTE_MLHDVR6OZ6UH,0
clientes,id,AGRC_USER_CLIENTE_MLNZUAVZHSM3,0
products,agricultorId,AGRC_USER_AGRICULTOR_MLE1AS4P13XF,0
products,agricultorId,AGRC_USER_AGRICULTOR_MLE1AS4P13XF,0
accounts,userId,AGRC_USER_MLE1AS4HYY88,0
orders,buyerId,AGRC_USER_MLHDVR6AENCW,0
sales,compradorId,AGRC_USER_MLHDVR6AENCW,0
sales,vendedorId,AGRC_USER_MLE1AS4HYY88,0
pagos,userId,AGRC_USER_MLE1AS4HYY88,0
wallets,userId,AGRC_USER_MLE1AS4HYY88,0
payment_transactions,compradorId,AGRC_USER_MLHDVR6AENCW,0
payment_transactions,agricultorId,AGRC_USER_AGRICULTOR_MLE1AS4P13XF,0
liquidaciones,agricultor_id,AGRC_USER_AGRICULTOR_MLE1AS4P13XF,0
